npsn,nama_sekolah,alamat,kelurahan,status,kecamatan,kabupaten,jenjang,latitude,longitude
60706945,MIS AL KHOERIYAH,Kp.Kalong Karees Ds.Kalongliud,Kalong Liud,SWASTA,Nanggung,Kab. Bogor,dikdas,,
60706946,MIS ALMA ARIF,Kp. Pabuaran Cidudut RT 003 RW 002,Hambaro,SWASTA,Nanggung,Kab. Bogor,dikdas,,
60706947,MIS MATHLAUL ANWAR,Kp.Hambaro RT 02/01 Ds.Hambaro,Hambaro,SWASTA,Nanggung,Kab. Bogor,dikdas,,
60706948,MIS MATHLAUL ANWAR,Kp.Pasir Eurih Rt. 03/04 Ds.Hambaro,Cisarua,SWASTA,Nanggung,Kab. Bogor,dikdas,,
60706949,MIS MIFTAHUL HUDA,Kp.Jeruk Ds.Sukaluyu Kec. Nanggung Kab. Bogor,Sukaluyu,SWASTA,Nanggung,Kab. Bogor,dikdas,,
60706950,MIS MUHAMMADIYAH CURUGBITUNG,Kp. Cibeber Kaum RT 02/07 desa Curugbitung,Nanggung,SWASTA,Nanggung,Kab. Bogor,dikdas,,
60706952,MIS NURUL HUDA,Kp.Tiga Sekawan Ds.Pangkal jaya,Pangkal Jaya,SWASTA,Nanggung,Kab. Bogor,dikdas,,
60706953,MIS P U I,Kp.Lamping Ds. Sukaluyu Kec. Nanggung Kab. Bogor,Sukaluyu,SWASTA,Nanggung,Kab. Bogor,dikdas,,
60706954,MIS P U I AL HIDAYAH,Kp.Hambaro Rt 003/009,Sukaluyu,SWASTA,Nanggung,Kab. Bogor,dikdas,,
60706961,MIS PUI NURUL HUDA,Kp.Cikaung Rt.01 Rw.05,Bantar Karet,SWASTA,Nanggung,Kab. Bogor,dikdas,,
20277586,MTSS CENDEKIA MUSLIM,Jln Raya Ace Tabrani Desa Parakanmuncang,Parakan Muncang,SWASTA,Nanggung,Kab. Bogor,dikdas,,
69725390,MTSS DARUSSIBYAN,Kp. Peuteuytilu Rt.01 Rw.08,Kalong Liud,SWASTA,Nanggung,Kab. Bogor,dikdas,,
20277582,MTSS MATHLAUL ANWAR,Kp. Sawah Rt; 02/04,Sukaluyu,SWASTA,Nanggung,Kab. Bogor,dikdas,,
